Items,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack
Interviewdauer [sec],0.0,-0.09,-0.19,-0.22,-0.21,0.1,-0.13,-0.15,-0.14,0.0,-0.08,-0.1,0.0,-0.11,-0.14,-0.13,-0.08,0.1,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.0,0.0,0.0
STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,-0.13,-0.24,-0.2,-0.25,-0.25,-0.14,-0.32,-0.3,-0.24,-0.07,-0.21,-0.15,-0.23,-0.21,-0.27,-0.26,-0.27,-0.14,-0.15,-0.12,-0.08,-0.11,-0.2,-0.22,-0.24,-0.17,-0.13,-0.19,-0.12,-0.17,-0.17,-0.2,-0.11,-0.26
Gender,-0.09,-0.12,-0.09,-0.11,-0.12,0.09,0.0,0.0,-0.09,0.0,0.0,-0.1,-0.11,0.0,-0.08,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.1
Degree,0.1,0.19,0.1,0.16,0.16,0.09,0.13,0.11,0.12,0.0,0.11,0.08,0.12,0.15,0.15,0.13,0.08,0.09,0.09,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.1
Bundesland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Income,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usage_Laptop,0.0,0.07,0.08,0.13,0.12,0.0,0.08,0.0,0.09,0.0,0.07,0.07,0.0,0.0,0.1,0.1,0.09,0.09,0.09,0.13,0.19,0.15,0.09,0.14,0.14,0.09,0.11,0.1,0.17,0.12,0.13,0.15,0.12,0.1
Usage_MobilePhone,0.12,0.2,0.23,0.26,0.2,0.0,0.17,0.15,0.16,0.1,0.09,0.18,0.1,0.12,0.19,0.21,0.16,0.0,0.0,0.1,0.13,0.14,0.0,0.08,0.11,0.09,0.09,0.0,0.0,0.0,0.0,0.08,0.07,0.0
Usage_Smartphone,0.0,0.12,0.13,0.12,0.17,0.15,0.15,0.17,0.16,0.0,0.17,0.1,0.15,0.13,0.13,0.15,0.2,0.13,0.0,0.11,0.1,0.1,0.17,0.11,0.15,0.1,0.08,0.14,0.1,0.13,0.15,0.15,0.11,0.23
Usage_Tablet,0.09,0.17,0.21,0.19,0.2,0.0,0.17,0.14,0.12,0.12,0.1,0.13,0.13,0.1,0.16,0.17,0.16,0.0,0.0,0.13,0.13,0.13,0.0,0.1,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.09,0.12
Usage_SmartWatch,0.0,0.19,0.23,0.23,0.22,0.11,0.18,0.19,0.14,0.13,0.12,0.19,0.18,0.18,0.21,0.18,0.19,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.1,0.0,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.07
Usage_SmartCar,0.18,0.34,0.41,0.43,0.4,0.0,0.3,0.3,0.32,0.15,0.23,0.3,0.3,0.28,0.32,0.34,0.25,0.08,0.12,0.15,0.15,0.15,0.0,0.11,0.15,0.07,0.08,0.09,0.11,0.1,0.07,0.12,0.09,0.11
Usage_PC,0.08,0.09,0.11,0.13,0.11,0.0,0.0,0.0,0.11,0.09,0.0,0.11,0.1,0.08,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usage_SmartTV,0.0,0.1,0.09,0.12,0.14,0.1,0.11,0.11,0.08,0.09,0.0,0.12,0.09,0.0,0.09,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0
Usage_Console,0.19,0.29,0.3,0.32,0.32,0.08,0.27,0.25,0.24,0.15,0.2,0.25,0.24,0.24,0.28,0.31,0.25,0.07,0.08,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.0,0.08,0.14,0.09,0.0,0.13,0.07,0.09
Usage_SmartLights,0.15,0.26,0.33,0.32,0.3,0.0,0.27,0.25,0.24,0.14,0.19,0.23,0.22,0.23,0.25,0.26,0.23,0.0,0.09,0.08,0.08,0.12,0.0,0.08,0.1,0.0,0.0,0.0,0.12,0.0,0.0,0.07,0.0,0.09
Usage_SmartHeater,0.21,0.31,0.39,0.42,0.42,0.0,0.29,0.31,0.3,0.16,0.26,0.27,0.26,0.24,0.33,0.38,0.25,0.0,0.08,0.08,0.0,0.11,0.0,0.08,0.13,0.0,0.0,0.07,0.07,0.0,0.0,0.09,0.0,0.0
Usage_SmartSpeaker,0.13,0.19,0.23,0.27,0.25,0.0,0.2,0.19,0.23,0.11,0.2,0.18,0.19,0.2,0.19,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.07
CyberThreat_Danger,0.21,0.19,0.21,0.16,0.19,0.14,0.12,0.12,0.13,0.14,0.15,0.19,0.28,0.23,0.19,0.23,0.12,0.28,0.33,0.29,0.37,0.33,0.2,0.24,0.24,0.28,0.28,0.31,0.31,0.35,0.3,0.32,0.3,0.25
CyberThreat_FirewallSecurity,0.08,0.0,-0.09,-0.08,-0.09,0.13,-0.08,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.15,0.1,0.0,0.09,0.0,0.1,0.0,0.0,0.1,0.1,0.08,0.09,0.1,0.08,0.0,0.0,0.07
CyberThreat_KnownWebsites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.08,0.0,0.0
CyberThreat_Risk4Individual,0.14,0.09,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.1,0.0,0.07,0.0,0.29,0.26,0.21,0.25,0.23,0.23,0.17,0.13,0.24,0.21,0.23,0.21,0.29,0.28,0.22,0.22,0.23
CyberThreat_OnInfrastructure,0.12,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.0,0.0,0.0,0.22,0.23,0.15,0.19,0.2,0.18,0.09,0.0,0.16,0.15,0.16,0.13,0.22,0.22,0.14,0.16,0.17
CyberThreat_GERPreparedness,0.0,0.13,0.26,0.28,0.26,-0.07,0.11,0.13,0.12,0.09,0.1,0.17,0.1,0.1,0.16,0.21,0.13,0.0,0.0,0.0,0.0,0.0,-0.1,0.07,0.09,0.0,0.0,0.0,0.08,-0.09,-0.09,0.0,0.0,0.0
CyberThreat_SelfDefense,0.0,0.1,0.13,0.13,0.08,-0.08,0.07,0.0,0.09,0.0,0.0,0.07,0.0,0.0,0.0,0.08,0.0,-0.23,-0.16,-0.14,-0.15,-0.2,-0.15,0.0,0.0,-0.12,-0.13,-0.13,-0.13,-0.17,-0.21,-0.11,-0.16,-0.16
CyberThreat_Uninformed,0.08,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.15,0.17,0.15,0.11,0.13,0.17,0.08,0.12,0.15,0.15,0.15,0.13,0.2,0.2,0.11,0.15,0.19
CyberThreat_Ignorance,0.12,0.0,0.0,0.0,0.0,0.17,0.08,0.0,0.08,0.1,0.0,0.0,0.1,0.1,0.0,0.08,0.11,0.29,0.21,0.22,0.16,0.21,0.24,0.14,0.13,0.21,0.21,0.21,0.2,0.33,0.31,0.19,0.19,0.29
CyberThreat_Education,0.19,0.13,0.09,0.09,0.09,0.19,0.17,0.15,0.13,0.0,0.13,0.12,0.18,0.16,0.13,0.17,0.16,0.27,0.23,0.23,0.2,0.21,0.22,0.18,0.22,0.21,0.22,0.23,0.23,0.25,0.27,0.24,0.21,0.23
CyberThreat_Helpless,0.1,0.0,0.1,0.08,0.13,0.12,0.09,0.13,0.12,0.09,0.11,0.11,0.17,0.15,0.1,0.13,0.09,0.17,0.15,0.18,0.11,0.17,0.16,0.15,0.17,0.21,0.16,0.16,0.17,0.2,0.21,0.14,0.17,0.22
CyberThreat_InformationSource,0.0,0.12,0.2,0.2,0.18,-0.08,0.08,0.07,0.09,0.0,0.0,0.0,0.1,0.0,0.14,0.14,0.08,-0.14,0.0,-0.08,0.0,0.0,-0.12,0.0,0.0,-0.11,-0.08,0.0,0.0,-0.11,-0.15,0.0,-0.09,-0.12
CyberThreat_CyberWar,0.14,0.17,0.1,0.1,0.13,0.0,0.09,0.13,0.11,0.0,0.1,0.1,0.24,0.14,0.15,0.13,0.12,0.16,0.19,0.14,0.19,0.17,0.12,0.14,0.14,0.18,0.15,0.19,0.13,0.21,0.19,0.18,0.18,0.16
CyberThreat_FearCyberWar,0.19,0.22,0.15,0.16,0.17,0.09,0.14,0.17,0.14,0.09,0.13,0.18,0.27,0.2,0.2,0.2,0.14,0.18,0.24,0.26,0.25,0.25,0.14,0.19,0.19,0.22,0.21,0.21,0.22,0.23,0.21,0.24,0.26,0.19
CyberThreat_GERCounterAttack,0.09,0.17,0.16,0.18,0.18,0.0,0.0,0.09,0.14,0.0,0.08,0.11,0.11,0.07,0.1,0.14,0.0,0.0,0.0,0.11,0.15,0.12,0.0,0.0,0.1,0.11,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
CyberThreat_LEACompetence,0.08,0.09,0.19,0.19,0.2,0.0,0.0,0.11,0.12,0.0,0.0,0.1,0.08,0.09,0.1,0.14,0.13,-0.08,-0.07,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.07,0.0,0.0,0.0
CyberThreat_LEAInsecurity,0.1,0.11,0.15,0.15,0.16,0.0,0.13,0.17,0.19,0.09,0.09,0.15,0.17,0.11,0.15,0.19,0.15,0.0,0.11,0.08,0.11,0.15,0.0,0.13,0.16,0.08,0.1,0.0,0.11,0.11,0.12,0.14,0.12,0.09
CyberThreat_CyberCrimeJustice,0.08,0.15,0.28,0.27,0.25,-0.08,0.12,0.14,0.14,0.07,0.1,0.19,0.11,0.1,0.19,0.2,0.14,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.11,-0.09,0.0,0.0,0.0,0.0
Knows_ENISA,0.2,0.29,0.38,0.43,0.39,0.0,0.26,0.27,0.23,0.13,0.22,0.23,0.24,0.21,0.33,0.34,0.26,0.0,0.1,0.09,0.14,0.16,0.0,0.13,0.17,0.07,0.0,0.1,0.11,0.0,0.0,0.12,0.11,0.0
Knows_BSI,0.19,0.23,0.26,0.27,0.23,0.0,0.13,0.15,0.11,0.0,0.11,0.15,0.24,0.18,0.21,0.21,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knows_BKA,0.14,0.16,0.12,0.13,0.1,0.08,0.08,0.1,0.08,0.06,0.0,0.09,0.19,0.15,0.1,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knows_CERTl,0.15,0.34,0.37,0.4,0.35,-0.07,0.25,0.24,0.21,0.11,0.2,0.29,0.26,0.26,0.32,0.3,0.22,0.0,0.09,0.1,0.14,0.09,-0.08,0.11,0.15,0.0,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.0
Knows_Europol,0.15,0.21,0.14,0.2,0.18,0.0,0.17,0.16,0.14,0.07,0.07,0.13,0.17,0.18,0.16,0.15,0.19,0.0,0.08,0.0,0.0,0.12,0.09,0.12,0.12,0.0,0.08,0.09,0.0,0.0,0.0,0.08,0.0,0.0
Knows_CAZ,0.18,0.28,0.3,0.36,0.33,0.0,0.22,0.25,0.18,0.12,0.19,0.24,0.25,0.24,0.29,0.27,0.23,0.0,0.08,0.09,0.11,0.13,0.0,0.09,0.12,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0
Knows_ProPK,0.15,0.24,0.3,0.35,0.29,0.0,0.21,0.25,0.22,0.11,0.14,0.22,0.22,0.19,0.25,0.27,0.22,0.0,0.0,0.0,0.09,0.11,0.0,0.13,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0
Knows_Zitis,0.19,0.31,0.34,0.39,0.38,0.0,0.25,0.26,0.2,0.15,0.18,0.27,0.25,0.24,0.31,0.33,0.23,0.0,0.09,0.11,0.15,0.14,0.0,0.17,0.21,0.0,0.0,0.08,0.11,0.0,0.0,0.11,0.09,0.0
Knows_Athene,0.2,0.3,0.39,0.42,0.4,0.0,0.27,0.28,0.26,0.17,0.21,0.26,0.28,0.25,0.32,0.36,0.23,0.0,0.08,0.12,0.14,0.16,-0.1,0.13,0.15,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.09,0.0
Knows_CISPA,0.17,0.29,0.34,0.4,0.39,0.0,0.2,0.23,0.23,0.14,0.18,0.25,0.26,0.23,0.32,0.32,0.18,0.0,0.1,0.1,0.14,0.18,-0.11,0.08,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.07,0.0,0.0
Knows_HGI,0.2,0.34,0.44,0.49,0.49,0.0,0.34,0.34,0.3,0.17,0.24,0.31,0.28,0.31,0.4,0.43,0.29,0.0,0.13,0.13,0.16,0.18,-0.08,0.19,0.23,0.08,0.08,0.1,0.14,0.0,0.07,0.17,0.14,0.07
Knows_CODE,0.22,0.36,0.45,0.5,0.45,0.0,0.33,0.33,0.3,0.19,0.21,0.32,0.3,0.32,0.4,0.42,0.29,0.0,0.14,0.14,0.15,0.17,0.0,0.18,0.2,0.0,0.07,0.08,0.14,0.0,0.09,0.15,0.11,0.0
Knows_Kastel,0.19,0.35,0.44,0.48,0.42,0.0,0.28,0.31,0.28,0.19,0.22,0.33,0.28,0.25,0.37,0.4,0.27,0.0,0.09,0.1,0.15,0.14,0.0,0.13,0.16,0.0,0.0,0.0,0.09,0.0,0.0,0.13,0.11,0.0
Knows_MPI,0.18,0.26,0.28,0.32,0.28,0.0,0.18,0.16,0.18,0.15,0.11,0.23,0.24,0.22,0.23,0.26,0.2,0.0,0.08,0.0,0.13,0.12,0.0,0.07,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.07,0.0
Knows_ACS,0.2,0.32,0.37,0.43,0.4,0.0,0.29,0.29,0.28,0.13,0.21,0.28,0.26,0.26,0.36,0.36,0.27,0.0,0.09,0.11,0.15,0.15,0.0,0.16,0.18,0.0,0.07,0.08,0.09,0.0,0.0,0.11,0.09,0.0
Knows_CERTb,0.2,0.32,0.35,0.43,0.34,0.0,0.24,0.28,0.23,0.13,0.19,0.26,0.26,0.23,0.33,0.34,0.24,0.0,0.09,0.09,0.12,0.12,0.0,0.12,0.15,0.0,0.0,0.0,0.1,0.0,0.0,0.09,0.0,0.0
Knows_CERTv,0.23,0.37,0.41,0.46,0.4,0.0,0.27,0.3,0.27,0.15,0.21,0.32,0.3,0.28,0.36,0.38,0.27,0.0,0.09,0.11,0.14,0.13,0.0,0.13,0.17,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.08,0.0
Knows_Heise,0.2,0.3,0.31,0.35,0.3,0.0,0.2,0.19,0.16,0.09,0.15,0.19,0.28,0.2,0.27,0.27,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knows_CyberMonth,0.22,0.34,0.43,0.47,0.44,0.0,0.31,0.3,0.25,0.15,0.2,0.31,0.27,0.28,0.35,0.4,0.27,0.0,0.11,0.13,0.1,0.13,-0.08,0.17,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.13,0.08,0.0
Knows_PWDay,0.18,0.29,0.36,0.4,0.33,0.0,0.24,0.25,0.2,0.11,0.2,0.24,0.25,0.22,0.32,0.28,0.18,0.0,0.07,0.11,0.09,0.1,0.0,0.15,0.18,0.08,0.08,0.1,0.12,0.0,0.0,0.12,0.08,0.0
Knows_DigDay,0.18,0.31,0.41,0.47,0.41,0.0,0.27,0.27,0.26,0.12,0.22,0.27,0.28,0.25,0.34,0.35,0.28,0.07,0.12,0.16,0.12,0.13,0.0,0.19,0.23,0.1,0.09,0.12,0.15,0.0,0.0,0.16,0.12,0.08
Knows_CSECDay,0.19,0.3,0.39,0.42,0.38,0.0,0.25,0.27,0.26,0.12,0.2,0.27,0.28,0.24,0.34,0.37,0.27,0.0,0.13,0.16,0.14,0.15,0.0,0.17,0.22,0.1,0.1,0.11,0.13,0.0,0.0,0.16,0.13,0.07
PastHelp_BSI,0.09,0.23,0.3,0.3,0.27,0.0,0.16,0.18,0.16,0.11,0.12,0.16,0.17,0.12,0.21,0.22,0.16,0.07,0.17,0.18,0.18,0.19,0.0,0.11,0.12,0.12,0.12,0.1,0.15,0.09,0.09,0.14,0.13,0.1
PastHelp_CERTl,0.15,0.3,0.39,0.41,0.38,0.0,0.25,0.28,0.22,0.14,0.19,0.27,0.24,0.21,0.31,0.29,0.22,0.0,0.17,0.21,0.22,0.24,0.0,0.18,0.21,0.15,0.13,0.11,0.19,0.09,0.08,0.15,0.15,0.11
PastHelp_Police,0.0,0.11,0.13,0.12,0.13,0.0,0.09,0.13,0.08,0.07,0.09,0.0,0.0,0.07,0.12,0.12,0.1,0.12,0.14,0.14,0.13,0.16,0.1,0.1,0.1,0.12,0.1,0.12,0.1,0.1,0.15,0.15,0.15,0.17
PastHelp_Manuf,0.13,0.22,0.19,0.23,0.22,0.1,0.16,0.18,0.15,0.11,0.13,0.16,0.2,0.2,0.21,0.18,0.19,0.2,0.26,0.22,0.21,0.24,0.16,0.17,0.16,0.18,0.18,0.16,0.19,0.16,0.21,0.19,0.21,0.25
PastHelp_Provider,0.09,0.21,0.18,0.21,0.21,0.0,0.09,0.14,0.1,0.1,0.07,0.15,0.15,0.11,0.19,0.19,0.13,0.13,0.19,0.14,0.19,0.21,0.0,0.07,0.12,0.09,0.11,0.08,0.12,0.1,0.16,0.11,0.15,0.14
PastHelp_ConsOffice,0.08,0.18,0.19,0.22,0.2,0.08,0.1,0.14,0.13,0.11,0.1,0.14,0.14,0.11,0.18,0.15,0.16,0.15,0.19,0.12,0.17,0.16,0.08,0.08,0.11,0.13,0.1,0.12,0.13,0.09,0.16,0.11,0.14,0.15
PastHelp_EmployerIT,0.15,0.27,0.3,0.32,0.29,0.1,0.2,0.23,0.24,0.14,0.18,0.23,0.22,0.18,0.28,0.28,0.21,0.19,0.22,0.22,0.22,0.19,0.16,0.18,0.2,0.2,0.16,0.2,0.22,0.16,0.16,0.2,0.15,0.22
PastHelp_PCShop,0.13,0.24,0.25,0.28,0.25,0.06,0.18,0.18,0.17,0.12,0.13,0.2,0.21,0.14,0.27,0.26,0.18,0.14,0.18,0.19,0.18,0.16,0.11,0.14,0.17,0.15,0.14,0.11,0.17,0.11,0.14,0.14,0.11,0.12
PastHelp_PublicMed,0.16,0.32,0.35,0.4,0.38,0.0,0.3,0.3,0.26,0.13,0.19,0.25,0.27,0.24,0.36,0.34,0.22,0.14,0.2,0.18,0.2,0.23,0.0,0.24,0.26,0.18,0.16,0.15,0.2,0.11,0.15,0.19,0.18,0.16
PastHelp_PrivateMed,0.17,0.33,0.37,0.43,0.4,0.0,0.28,0.3,0.27,0.13,0.2,0.27,0.29,0.23,0.36,0.35,0.23,0.11,0.2,0.2,0.21,0.23,0.0,0.22,0.23,0.15,0.14,0.16,0.19,0.13,0.14,0.21,0.18,0.14
PastHelp_Forum,0.15,0.24,0.22,0.27,0.24,0.07,0.16,0.18,0.15,0.11,0.13,0.14,0.2,0.15,0.22,0.23,0.15,0.11,0.19,0.14,0.15,0.16,0.1,0.14,0.14,0.14,0.11,0.15,0.13,0.16,0.12,0.14,0.11,0.16
PastHelp_IntExperts,0.18,0.28,0.31,0.36,0.32,0.07,0.23,0.28,0.23,0.15,0.18,0.19,0.2,0.2,0.3,0.32,0.22,0.15,0.21,0.19,0.18,0.16,0.09,0.19,0.21,0.17,0.15,0.16,0.17,0.1,0.13,0.17,0.15,0.15
PastHelp_Influencer,0.21,0.31,0.4,0.47,0.47,0.0,0.27,0.32,0.3,0.16,0.23,0.28,0.3,0.29,0.41,0.41,0.27,0.12,0.19,0.23,0.22,0.23,0.0,0.2,0.24,0.2,0.14,0.13,0.2,0.12,0.13,0.22,0.21,0.16
PastHelp_Family,0.09,0.09,0.0,0.07,0.08,0.2,0.11,0.11,0.07,0.1,0.0,0.0,0.09,0.0,0.1,0.1,0.09,0.21,0.18,0.14,0.15,0.18,0.23,0.1,0.12,0.15,0.19,0.17,0.13,0.19,0.23,0.15,0.15,0.21
PastHelp_Colleague,0.16,0.23,0.2,0.25,0.22,0.2,0.17,0.19,0.2,0.13,0.17,0.16,0.22,0.17,0.22,0.2,0.22,0.2,0.21,0.18,0.19,0.18,0.21,0.15,0.19,0.18,0.2,0.2,0.17,0.16,0.22,0.2,0.17,0.23
