Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsgeneratorstartwert,Datum gestartet,Datum letzte Aktivität,Bitte geben Sie Ihr Alter an:,Bitte geben Sie Ihr Geschlecht an:,Bitte geben Sie Ihren höchsten Bildungsabschluss an:,Bitte geben Sie Ihren höchsten Bildungsabschluss an: [Sonstiges],Falls Sie gerade an einer Hochschule studieren: Für welches Studienfach sind Sie immatrikuliert?,Was verbirgt sich hinter dem Begriff „Browserverlauf“?  Im Browserverlauf werden ... ,"Was ist ein ""Cookie""?",Was versteht man unter dem Begriff „Cache“?,"Was versteht man unter einem „Trojaner“?   Ein Trojaner ist ein Computerprogramm, dass ... ",Was ist eine „Firewall“? ,Die EU-Richtlinien zum Datenschutz ...,Informationelle Selbstbestimmung ist ...," [Die National Security Agency (NSA) greift nur auf Nutzerdaten zu, die öffentlich und für jedermann zugänglich sind.]"," [Betreiber sozialer Netzwerke (z.B. Facebook) sammeln und verarbeiten auch Informationen von Personen, die dieses Netzwerk gar nicht nutzen.]"," [Daten, die Betreiber sozialer Netzwerke (z.B. Facebook) über die Nutzer sammeln, werden nach 5 Jahren gelöscht.]"," [Unternehmen kombinieren Daten, die auf verschiedenen Websites im Internet hinterlassen werden und stellen daraus Nutzerprofile zusammen.]"," [E-Mails werden häufig über mehrere Rechner weitergeleitet, bevor sie bei ihrem eigentlichen Empfänger ankommen.]", [Die Weiterleitung anonymisierter Nutzerdaten zu Marktforschungszwecken ist in der EU gesetzlich erlaubt.], [Für alle sozialen Netzwerkseiten gelten in Deutschland die gleichen Standard-AGBs. Abweichungen müssen von den Betreibern kenntlich gemacht werden.]," [Laut dem deutschen Gesetz haben Nutzer von Online-Anwendungen, die personenbezogene Daten erheben und verarbeiten, einen Anspruch darauf, die über sie gespeicherten Daten einzusehen.]"," [Das Nachverfolgen der eigenen Internetnutzung kann durch das regelmäßige Löschen von Browserinformationen (Cookies, Cache, Browserverlauf) erschwert werden.]"," [Durch das Surfen im „Private Browsing“-Modus kann die Rekonstruktion des eigenen Surfverhaltens erschwert werden, da keine Browserinformationen gespeichert werden.]", [Durch die Nutzung von falschen Namen oder Pseudonymen kann die Identifikation der eigenen Person im Internet zumindest erschwert werden.]," [Auch wenn selbst schwere Passwörter von IT-Profis geknackt werden können, ist es sinnvoll Passwörter zu verwenden, die aus einer Kombination aus Buchstaben, Zahlen und Sonderzeichen bestehen und keine Wörter, Namen oder einfache Zahlenkombinationen enthalten.]"," [Um den Zugang zu eigenen Daten zu erschweren, sollte man verschiedene Passwörter und Benutzernamen für unterschiedliche Anwendungen nutzen und diese häufig ändern.]",Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Hausärzte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Fachärzte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Rechtsanwälte/Gerichte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Seelsorger],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Versicherungen],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Kundenservice Online-Shop],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Geistliche],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Sozialarbeiter],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Vorgesetzter],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Kollegen],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Freunde],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Familie],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Vorname],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Nachname],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Wohnadresse],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [E-Mail-Adresse],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [IBAN],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [PayPal-Konto],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Rechnungsadresse (beim Online-Shopping)],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Kundennummer (beim Kundensupport)],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Mobilnummer],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Festnetznummer],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Social-Media-Accounts],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Social-Media-Accounts von Freunden (Freunde werben für Vorteile)]
1,2023-07-05 16:56:40,3,de,1482693048,2023-07-05 16:54:16,2023-07-05 16:56:40,23,männlich,Hochschulstudium (Bachelor),,Wirt.-Ing./Bauing.,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Unsicher,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Eher wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Neutral,Neutral,Neutral,Eher unwichtig,Eher wichtig,Eher wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,,weitergeben,nicht weitergeben
2,2023-07-05 17:03:30,3,de,1133044988,2023-07-05 17:01:12,2023-07-05 17:03:30,19,männlich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Ein Programm, welches Daten auf eine externe Festplatte kopiert, um diese vor Datenklau zu schützen.","...als Computervirus in den 90ern Schaden anrichtete, heute aber nicht mehr existiert.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...gelten als länderübergreifendes Datenschutzgesetz.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Unsicher,Ja,Nein,Ja,Unsicher,Unsicher,Nein,Nein,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher unwichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
3,2023-07-05 17:09:36,3,de,1105003937,2023-07-05 17:07:01,2023-07-05 17:09:36,24,männlich,Sonstiges,Abitur + Ausbildung Industriekaufmann,Wirtschaftsingeneurwesen Maschinenbau,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Unsicher,Unsicher,Ja,Nein,Nein,Nein,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
4,2023-07-05 17:16:36,3,de,2113353911,2023-07-05 17:14:33,2023-07-05 17:16:36,25,männlich,Abitur,,Wirtschaftsingenieur Bauingenieur,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Nein,Ja,Unsicher,Unsicher,Ja,Unsicher,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Neutral,Eher unwichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Neutral,Eher wichtig,Eher wichtig,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
5,2023-07-05 17:21:14,3,de,1219978877,2023-07-05 17:19:27,2023-07-05 17:21:14,21,männlich,Fachabitur,,"Politikwissenschaft, B.A.",...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Aufgabe des Bundesdatenschutzbeauftragten.,Nein,Unsicher,Nein,Ja,Unsicher,Unsicher,Unsicher,Ja,Ja,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Neutral,Neutral,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben
6,2023-07-06 09:05:05,3,de,1905808101,2023-07-06 09:01:14,2023-07-06 09:05:05,22,männlich,Hochschulstudium (Bachelor),,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Unsicher,Ja,Unsicher,Ja,Unsicher,Ja,Unsicher,Ja,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
7,2023-07-06 10:09:53,3,de,999064009,2023-07-06 10:02:37,2023-07-06 10:09:53,34,weiblich,Hochschulstudium (Bachelor),,Bildung in globalen Technisierungsprozessen,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...gelten als länderübergreifendes Datenschutzgesetz.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Unsicher,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Eher wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
8,2023-07-06 11:10:26,3,de,1938868145,2023-07-06 10:59:52,2023-07-06 11:10:26,26,männlich,Hochschulstudium (Bachelor),,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Unsicher,Ja,Ja,Unsicher,Nein,Ja,Ja,Unsicher,Unsicher,Unsicher,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Neutral,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,,,,nicht weitergeben,weitergeben,,
9,2023-07-06 14:01:20,3,de,951834016,2023-07-06 13:54:45,2023-07-06 14:01:20,21,männlich,Abitur,,Mathematik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Unsicher,Ja,Unsicher,Ja,Ja,Unsicher,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Neutral,Sehr wichtig,Sehr wichtig,Neutral,Neutral,Eher wichtig,Eher wichtig,nicht weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,,weitergeben,nicht weitergeben
10,2023-07-06 15:10:29,3,de,621001476,2023-07-06 15:03:40,2023-07-06 15:10:29,24,weiblich,Abitur,,Wirtschaftsingenieurwesen technische Fachrichtung Bauingenieurwesen,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als Computervirus in den 90ern Schaden anrichtete, heute aber nicht mehr existiert.","Ein Browser-Plugin, das sicheres Surfen ermöglicht.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Forderung datenverarbeitender Stellen.,Nein,Ja,Nein,Ja,Unsicher,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Eher wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher unwichtig,Eher unwichtig,Eher wichtig,Neutral,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
11,2023-07-07 10:17:20,3,de,1360434366,2023-07-07 10:12:25,2023-07-07 10:17:20,26,männlich,Hochschulstudium (Bachelor),,M. Sc. Maschinenbau,...die Adressen der besuchten Websites gespeichert.,"Ein Programm, mit dem man die Datenspeicherung von Webanbietern unterbinden kann.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,,Unsicher,Unsicher,Nein,Ja,Ja,Unsicher,Unsicher,Ja,Unsicher,Nein,Unsicher,Ja,Ja,Eher wichtig,Sehr wichtig,Eher wichtig,Neutral,Eher wichtig,Eher wichtig,Neutral,Neutral,Sehr wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
12,2023-07-07 11:20:44,3,de,621812821,2023-07-07 11:11:40,2023-07-07 11:20:44,22,weiblich,Abitur,,Politikwissenschaft,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als Computervirus in den 90ern Schaden anrichtete, heute aber nicht mehr existiert.",Ein veraltetes Schutzprogramm gegen Computer-Viren.,...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Unsicher,Ja,Nein,Ja,Unsicher,Ja,Ja,Unsicher,Nein,Nein,Unsicher,Nein,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Neutral,Sehr wichtig,Eher wichtig,Neutral,Neutral,Eher wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben
13,2023-07-10 14:00:11,3,de,1958753511,2023-07-10 13:56:15,2023-07-10 14:00:11,23,männlich,Hochschulstudium (Bachelor),,Informationssystemtechnik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Unsicher,Ja,Ja,Unsicher,Nein,Ja,Nein,Nein,Unsicher,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr unwichtig,Eher wichtig,Sehr unwichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben
14,2023-07-10 15:05:49,3,de,162999588,2023-07-10 15:01:32,2023-07-10 15:05:49,23,männlich,Abitur,,B. Sc. Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Ja,Unsicher,Ja,Nein,Nein,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr unwichtig,Neutral,Eher wichtig,Neutral,Eher unwichtig,Eher unwichtig,Eher unwichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
15,2023-07-10 16:12:42,3,de,827163262,2023-07-10 16:04:25,2023-07-10 16:12:42,23,männlich,Sonstiges,"Fen Lisesi Diplomasi, Türkei (gleichwertig wie Abitur) ",Informatik (B. Sc.),...die Adressen der besuchten Websites gespeichert.,"Ein Programm, mit dem man die Datenspeicherung von Webanbietern unterbinden kann.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als Computervirus in den 90ern Schaden anrichtete, heute aber nicht mehr existiert.",Ein veraltetes Schutzprogramm gegen Computer-Viren.,...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,,Unsicher,Ja,Unsicher,Ja,Ja,Unsicher,Unsicher,Ja,Nein,Ja,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Neutral,Sehr wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben
16,2023-07-11 09:10:40,3,de,1625358907,2023-07-11 09:06:18,2023-07-11 09:10:40,22,männlich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
17,2023-07-11 10:05:17,3,de,1205905882,2023-07-11 09:59:40,2023-07-11 10:05:17,24,männlich,Hochschulstudium (Bachelor),,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...gelten als länderübergreifendes Datenschutzgesetz.,,Nein,Ja,Nein,Ja,Ja,Ja,,Ja,Nein,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher unwichtig,Sehr unwichtig,Eher wichtig,Eher wichtig,Neutral,Sehr wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
18,2023-07-12 09:20:31,3,de,598873847,2023-07-12 09:10:25,2023-07-12 09:20:31,27,männlich,Hochschulstudium (Bachelor),,It Sicherheit Masters,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,...ein Grundrecht deutscher Bürger.,Nein,Nein,Unsicher,Ja,Ja,Unsicher,Unsicher,Ja,Ja,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Neutral,Neutral,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben
